repository,id,tag_name,draft,prerelease,created_at,published_at,author,body_length,breaking_change_flag,notes_url,asset_count,asset_total_size_kb,download_count_total,version_major,version_minor,version_patch,release_type,published_date,published_time,year,month,day,weekday,weekday_name,hour,time_slot,is_weekend,prev_release_date,days_since_prev_release,commit_count_since_prev,pr_count_since_prev,closed_issues_since_prev,top_contributor_1,top_contributor_1_count,top_contributor_2,top_contributor_2_count,top_contributor_3,top_contributor_3_count
stackflow,132224948,@stackflow/plugin-basic-ui@1.4.1,,,2023-12-01T04:16:25Z,2023-12-01T04:16:25Z,github-actions[bot],,,,,,,1,4,1,patch,2023-12-01,13:16:25,2023,12,1,5,Friday,13,12-15,,,,,,,,,,,,
stackflow,134907424,@stackflow/core@1.0.9,,,2023-12-22T13:48:37Z,2023-12-22T13:48:37Z,github-actions[bot],,,,,,,1,0,9,patch,2023-12-22,22:48:37,2023,12,22,5,Friday,22,20-23,,2023-12-01,21,,,,,,,,,
stackflow,134907432,@stackflow/compat-await-push@1.1.6,,,2023-12-22T13:48:40Z,2023-12-22T13:48:40Z,github-actions[bot],,,,,,,1,1,6,patch,2023-12-22,22:48:40,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907437,@stackflow/plugin-basic-ui@1.4.2,,,2023-12-22T13:48:43Z,2023-12-22T13:48:43Z,github-actions[bot],,,,,,,1,4,2,patch,2023-12-22,22:48:43,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907440,@stackflow/link@1.3.15,,,2023-12-22T13:48:46Z,2023-12-22T13:48:46Z,github-actions[bot],,,,,,,1,3,15,patch,2023-12-22,22:48:46,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907445,@stackflow/plugin-devtools@0.1.7,,,2023-12-22T13:48:49Z,2023-12-22T13:48:49Z,github-actions[bot],,,,,,,0,1,7,patch,2023-12-22,22:48:49,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907454,@stackflow/plugin-google-analytics-4@1.1.8,,,2023-12-22T13:48:52Z,2023-12-22T13:48:52Z,github-actions[bot],,,,,,,1,1,8,patch,2023-12-22,22:48:52,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907456,@stackflow/plugin-history-sync@1.3.14,,,2023-12-22T13:48:55Z,2023-12-22T13:48:55Z,github-actions[bot],,,,,,,1,3,14,patch,2023-12-22,22:48:55,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907461,@stackflow/plugin-preload@1.2.14,,,2023-12-22T13:48:58Z,2023-12-22T13:48:58Z,github-actions[bot],,,,,,,1,2,14,patch,2023-12-22,22:48:58,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907467,@stackflow/plugin-renderer-basic@1.1.6,,,2023-12-22T13:49:01Z,2023-12-22T13:49:01Z,github-actions[bot],,,,,,,1,1,6,patch,2023-12-22,22:49:01,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907474,@stackflow/plugin-renderer-web@1.1.6,,,2023-12-22T13:49:04Z,2023-12-22T13:49:04Z,github-actions[bot],,,,,,,1,1,6,patch,2023-12-22,22:49:04,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907477,@stackflow/plugin-map-initial-activity@1.0.4,,,2023-12-22T13:49:07Z,2023-12-22T13:49:07Z,github-actions[bot],,,,,,,1,0,4,patch,2023-12-22,22:49:07,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907482,@stackflow/plugin-stack-depth-change@1.1.0,,,2023-12-22T13:49:10Z,2023-12-22T13:49:10Z,github-actions[bot],,,,,,,1,1,0,minor,2023-12-22,22:49:10,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907488,@stackflow/react@1.1.6,,,2023-12-22T13:49:13Z,2023-12-22T13:49:13Z,github-actions[bot],,,,,,,1,1,6,patch,2023-12-22,22:49:13,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907493,@stackflow/esbuild-config@1.0.1,,,2023-12-22T13:49:16Z,2023-12-22T13:49:16Z,github-actions[bot],,,,,,,1,0,1,patch,2023-12-22,22:49:16,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134907500,@stackflow/eslint-config@1.0.2,,,2023-12-22T13:49:19Z,2023-12-22T13:49:19Z,github-actions[bot],,,,,,,1,0,2,patch,2023-12-22,22:49:19,2023,12,22,5,Friday,22,20-23,,2023-12-22,0,,,,,,,,,
stackflow,134976198,@stackflow/plugin-basic-ui@1.5.0,,,2023-12-23T14:08:05Z,2023-12-23T14:08:05Z,github-actions[bot],,,,,,,1,5,0,minor,2023-12-23,23:08:05,2023,12,23,6,Saturday,23,20-23,1,2023-12-22,1,,,,,,,,,
stackflow,137183048,@stackflow/plugin-basic-ui@1.5.1,,,2024-01-16T09:26:15Z,2024-01-16T09:26:15Z,github-actions[bot],,,,,,,1,5,1,patch,2024-01-16,18:26:15,2024,1,16,2,Tuesday,18,16-19,,2023-12-23,24,,,,,,,,,
