period,count
2025-W22,55
2025-W20,3
2025-W15,3
2025-W13,3
2025-W11,25
2025-W09,32
2025-W07,3
2025-W04,5
2024-W51,4
2024-W47,1
2024-W45,1
2024-W43,1
2024-W39,5
2024-W37,1
2024-W36,10
2024-W34,1
2024-W33,15
2024-W32,5
2024-W31,14
2024-W30,30
2024-W28,2
2024-W22,1
2024-W21,3
2024-W07,10
2024-W05,14
2024-W04,2
2024-W03,2
2023-W52,15
2023-W49,1
2025-W23,10
2025-W21,13
2025-W19,9
2025-W18,39
2025-W17,30
2025-W16,18
2025-W12,8
2025-W10,14
2025-W08,25
2023-W32,1
2023-W30,1
2023-W28,1
2023-W22,1
2023-W18,1
2023-W17,2
2023-W16,1
2023-W11,2
2023-W09,5
2023-W08,5
2023-W07,6
2023-W04,2
2022-W50,5
2022-W49,2
2022-W48,8
2022-W47,2
2022-W41,1
2022-W11,1
2021-W42,4
